Altium Designer Pick and Place Locations
E:\毞跡\掀��\PCB\Analog_ADC\Project Outputs for Analog_ADC\Pick Place for Analog_ADC.txt

========================================================================================================================
File Design Information:

Date:       04/08/26
Time:       17:32
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                 Layer       Footprint        Center-X(mil) Center-Y(mil) Rotation Description                                       
C30        470pF                   TopLayer    C0603            4221.243      3757.088      180      "470pF ㊣10% 50V 0603 X7R"                         
C29        10pFㄛDNP                TopLayer    C0603            3648.758      3006.855      90       "10pF ㊣1% 100V 0603"                              
C28        100nF/100V              TopLayer    GRM18x           3718.862      4195.778      180      "100nF 10% 100V X7R 0603"                         
C27        100nF                   TopLayer    C0402            3523.212      2822.134      0        "100nF ㊣10% 50V 0402 GCM"                         
C26        2.7nF                   TopLayer    C0603            4121.004      3403.515      0        "2.7nF ㊣10% 50V 0603 X7R"                         
C25        4.7uF/25V               TopLayer    GRM18x           4218.464      3870.042      180      "4.7uF 10% 25V 0603 X6S"                          
C24        1uF/25V                 TopLayer    GRM18x           4827.943      3727.676      180      "1uF 10% 25V X7R 0603"                            
C23        100nF/50V               TopLayer    CAPC1005X70N     4463.444      3333.515      90       "100nF 10% 50V 0402 X7R"                          
C22        10nF/50V                TopLayer    GRM18x           4537.943      3771.101      90       "10nF 2% 50V 0603 C0G"                            
C21        "10uF 50V"              TopLayer    C1210-H2r50      4774.454      3086.614      180      "10uF 50V 10% 1210 X7R"                           
C20        100nF/50V               TopLayer    CAPC1005X70N     4883.444      3283.515      90       "100nF 10% 50V 0402 X7R"                          
C19        "10uF 50V"              TopLayer    C1210-H2r50      4570.280      3581.303      270      "10uF 50V 10% 1210 X7R"                           
C18        10nF/50V                TopLayer    GRM18x           4398.444      3283.515      90       "10nF 2% 50V 0603 C0G"                            
C17        100nF                   TopLayer    C0402            4238.444      3432.015      90       "100nF ㊣10% 50V 0402 GCM"                         
C16        100nF/100V              TopLayer    GRM18x           4218.464      3820.042      180      "100nF 10% 100V X7R 0603"                         
C15        1uF/25V                 TopLayer    GRM18x           3718.862      4250.778      180      "1uF 10% 25V X7R 0603"                            
C14        100nF/100V              TopLayer    GRM18x           3732.219      3615.260      180      "100nF 10% 100V X7R 0603"                         
C13        200pF                   TopLayer    C0603            4092.560      3925.000      0        "200pF ㊣1% 100V 0603"                             
C12        470pF                   TopLayer    C0603            3731.940      3678.214      0        "470pF ㊣10% 50V 0603 X7R"                         
C11        100nF/100V              TopLayer    GRM18x           3727.020      3948.644      270      "100nF 10% 100V X7R 0603"                         
C10        4.7uF/25V               TopLayer    GRM18x           3732.219      3565.260      180      "4.7uF 10% 25V 0603 X6S"                          
C9         1uF/25V                 TopLayer    GRM18x           3775.718      3949.291      270      "1uF 10% 25V X7R 0603"                            
C8         100nF                   TopLayer    C0402            4268.444      3155.015      270      "100nF ㊣10% 50V 0402 GCM"                         
C7         10uF/10V                TopLayer    GRM18x           4268.444      3293.515      270      "10uF 10% 10V X7R 0603"                           
C6         15pF                    TopLayer    C0603            3302.354      3827.773      90       "15pF ㊣1% 50V 0603 NP0"                           
C5         1uF/50V                 TopLayer    CAPC1005X70N     3082.354      3990.213      0        "1uF 10% 50V 0402 X5R"                            
C4         100nF/100V              TopLayer    GRM18x           3075.779      3945.213      0        "100nF 10% 100V X7R 0603"                         
C3         1uF/50V                 TopLayer    CAPC1005X70N     3204.698      3703.188      90       "1uF 10% 50V 0402 X5R"                            
C2         100nF/100V              TopLayer    GRM18x           3114.698      3703.188      270      "100nF 10% 100V X7R 0603"                         
C1         1uF/50V                 TopLayer    CAPC1005X70N     3162.198      3703.188      90       "1uF 10% 50V 0402 X5R"                            
